id,companyId,employeeId,mesReferencia,valorDiario,diasUteis,valorTotal,operadora,observacoes,createdAt,updatedAt,valorCafe,valorLanche,valorJanta,valorVA,status,motivoAlteracao,geradoPor,aprovadoPor
30184,60002,420093,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30185,60002,420094,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30186,60002,420095,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30187,60002,420096,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30188,60002,420097,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30189,60002,420098,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30190,60002,420099,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30191,60002,420100,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30192,60002,420101,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30193,60002,420102,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30194,60002,420103,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30195,60002,420104,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30196,60002,420105,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30197,60002,420106,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30198,60002,420107,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30199,60002,420109,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30200,60002,420110,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30201,60002,420111,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30202,60002,420112,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
