id,companyId,nome,ca,validadeCA,fabricante,fornecedor,quantidadeEstoque,createdAt,updatedAt,valor_produto,tempo_minimo_troca,categoria,tamanho,fornecedor_cnpj,fornecedor_contato,fornecedor_telefone,fornecedor_email,fornecedor_endereco,cor_capacete,condicao,vida_util_meses,criado_por,alterado_por
690038,60002,"Luva de segurança confeccionada em borracha nitrílica, clorinada, com ou sem revestimento interno, texturizada na palma, face palmar dos dedos e pontas dos dedos.",25313,2028-10-20 00:00:00,"DVT COMERCIO, IMPORTACAO E EXPORTACAO LTDA",Neobetel,50,2026-02-25 20:09:16,2026-02-25 20:09:16,8.19,60,EPI,,,,,,,,Novo,,,
690040,60002,"Protetor auditivo, confeccionado em silicone grau farmacêutico, tipo inserção, composto de um eixo com três flanges, onde a primeira, a segunda e a terceira, são flanges maciças ecônicas, todas de dimensões variáveis, contendo um orifício no seu interior, protetor tamanho único, moldável a diferentes canais auditivos, com cordão de algodão ou PVC/silicone ligando os dois.",19578,2027-12-13 00:00:00,VEAJ CACCHERO PLASTICOS LTDA,Neobetel,46,2026-02-25 20:13:21,2026-02-25 20:13:21,1.46,90,EPI,,,,,,,,Novo,,,
690041,60002,JUGULAR TÊXTIL PARA CAPACETE V-GARD,,,MSA,Neobetel,93,2026-02-25 20:20:32,2026-02-25 20:20:32,12.53,,EPI,,,,,,,,Novo,,,
690042,60002,"Luva de proteção tricotada em náilon, palma, face palmar dos dedos e pontas dos dedos com revestimento em poliuretano.",15.272,2029-12-30 00:00:00,KALIPSO EQUIPAMENTOS INDIVIDUAIS DE PROTECAO LTDA,Mercado Livre,0,2026-02-25 20:24:00,2026-03-02 12:12:10,3.74,60,EPI,,,,,,,,Novo,,,
690044,60002,"Luva de segurança, confeccionada em fibras naturais e sintéticas, revestimento palmar, pontas e face palmar dos dedos em borracha ""foam"" (espuma) em formato de gomos.",38257,2028-12-29 00:00:00,"VCH - IMPORTADORA, EXPORTADORA E DISTRIBUICAO DE PRODUTOS LTDA",Mercado Livre,23,2026-02-25 20:27:58,2026-02-25 20:27:58,57.90,60,EPI,,,,,,,,Novo,,,
690045,60002,"Capuz de segurança confeccionado em tecido de algodão tipo brim, fechamento através de velcro, modelo árabe.",29047,2026-06-24 00:00:00,REPTEC EQUIPAMENTOS DE SEGURANCA E UNIFORMES LTDA,,1,2026-02-25 20:28:52,2026-02-25 20:28:52,18.90,180,EPI,,,,,,,,Novo,,,
690046,60002,"Calça de segurança  de confeccionada em tecido Cedrotech FR, 100% algodão, sarja 3x1, ATPV 11 cal/cm², fabricado pela Cia de Fiação e Tecidos Cedro Cachoeira, com gramatura nominal de 8,6 oz/yd² (290 g/m²).",41147,2025-10-21 00:00:00,EQPRO INDUSTRIA E COMERCIO LTDA,EBAZAR.COM.BR. LTDA,2,2026-02-25 20:32:37,2026-02-26 17:28:54,174.79,180,Uniforme,GG,03007331023192,EBAZAR.COM.BR. LTDA,(11) 21212121,,"FRANCISCO XAVIER CORREIA, SN, GALPAOG200, RESIDENCIAL PARQUE CUMBICA, GUARULHOS, SP",,Novo,,,
690047,60002,"Calça de segurança  de confeccionada em tecido Cedrotech FR, 100% algodão, sarja 3x1, ATPV 11 cal/cm², fabricado pela Cia de Fiação e Tecidos Cedro Cachoeira, com gramatura nominal de 8,6 oz/yd² (290 g/m²).",41147,2025-10-21 00:00:00,EQPRO INDUSTRIA E COMERCIO LTDA,ANDERSON BARNE DE CAMARGO,3,2026-02-25 20:34:43,2026-02-26 14:43:23,174.79,180,Uniforme,G,,,,,,,Novo,,,
690048,60002,"Camisa de segurança confeccionada em tecido Cedrotech FR, 100% algodão, sarja 3X1 Rip Stop , ATPV 11 cal/cm², fabricado pela Cia de Fiação e Tecidos Cedro Cachoeira, com gramatura nominal de 8,6 oz/yd² (290 g/m²).",41146,2025-10-21 00:00:00,EQPRO INDUSTRIA E COMERCIO LTDA,ANDERSON BARNE DE CAMARGO,2,2026-02-25 20:35:52,2026-02-26 16:44:08,148.11,180,Uniforme,GG,,,,,,,Novo,,,
690049,60002,"Camisa de segurança confeccionada em tecido Cedrotech FR, 100% algodão, sarja 3X1 Rip Stop , ATPV 11 cal/cm², fabricado pela Cia de Fiação e Tecidos Cedro Cachoeira, com gramatura nominal de 8,6 oz/yd² (290 g/m²).",41146,2025-10-21 00:00:00,EQPRO INDUSTRIA E COMERCIO LTDA,ANDERSON BARNE DE CAMARGO,3,2026-02-25 20:36:43,2026-02-26 16:43:09,148.11,180,Uniforme,G,,,,,,,Novo,,,
690050,60002,"Calçado de segurança de uso profissional tipo botina, confeccionado em couro, fechamento em elástico, palmilha de montagem em não tecido fixada pelo sistema strobel, biqueira de composite, solado empoliuretano bidensidade injetado direto ao cabedal, para uso eletricista.",38753,2026-08-05 00:00:00,CALCADOS CARTOM LTDA,CRESTANI COMERCIO LTDA,2,2026-02-25 20:38:03,2026-02-26 16:39:44,93.50,365,Calcado,40,,,,,,,Novo,,,
