id,companyId,obraId,employeeId,dixiDeviceId,mesAno,horasNormais,horasExtras,horasNoturnas,totalHoras,diasTrabalhados,createdAt,updatedAt
300371,60002,120001,420176,,2025-12,45:04,1:10,0:00,46:14,8,2026-03-03 22:49:36,2026-03-03 22:49:36
300372,60002,120001,420184,,2025-12,38:43,2:12,0:00,40:55,5,2026-03-03 22:49:36,2026-03-03 22:49:36
300373,60002,120001,420189,,2025-12,23:06,0:00,0:00,23:06,4,2026-03-03 22:49:36,2026-03-03 22:49:36
300374,60002,120001,420191,,2025-12,5:25,0:00,0:00,5:25,1,2026-03-03 22:49:36,2026-03-03 22:49:36
300375,60002,120001,420194,,2025-12,60:37,7:06,0:00,67:43,8,2026-03-03 22:49:36,2026-03-03 22:49:36
300376,60002,120001,420195,,2025-12,50:17,2:20,0:00,52:37,6,2026-03-03 22:49:36,2026-03-03 22:49:36
300377,60002,120001,420196,,2025-12,14:37,0:45,0:00,15:22,2,2026-03-03 22:49:36,2026-03-03 22:49:36
300378,60002,120001,420198,,2025-12,0:00,0:00,0:00,0:00,2,2026-03-03 22:49:36,2026-03-03 22:49:36
300379,60002,120001,420204,,2025-12,6:47,0:00,0:00,6:47,1,2026-03-03 22:49:36,2026-03-03 22:49:36
300380,60002,120001,420205,,2025-12,16:00,2:32,0:00,18:32,3,2026-03-03 22:49:36,2026-03-03 22:49:36
300381,60002,120001,420207,,2025-12,46:00,1:21,0:00,47:21,7,2026-03-03 22:49:36,2026-03-03 22:49:36
300382,60002,120001,420208,,2025-12,67:32,8:34,0:00,76:06,12,2026-03-03 22:49:36,2026-03-03 22:49:36
300383,60002,120001,420209,,2025-12,66:57,6:52,0:00,73:49,9,2026-03-03 22:49:36,2026-03-03 22:49:36
300384,60002,120001,450001,,2025-12,34:59,8:31,0:00,43:30,6,2026-03-03 22:49:36,2026-03-03 22:49:36
330001,60002,90004,420073,,2026-02,53:53,13:27,0:00,67:20,8,2026-03-05 19:32:31,2026-03-05 19:32:31
330002,60002,90004,420115,,2026-02,53:55,0:54,0:00,54:49,7,2026-03-05 19:32:31,2026-03-05 19:32:31
330003,60002,90004,420116,,2026-02,44:57,0:36,0:00,45:33,6,2026-03-05 19:32:31,2026-03-05 19:32:31
