id,companyId,employeeId,mesReferencia,periodId,valorHora,cargaHorariaDiaria,diasUteisNoMes,salarioBrutoMes,horasExtrasValor,adicionaisValor,adicionaisDetalhes,totalProventos,descontoAdiantamento,descontoFaltas,descontoFaltasQtd,descontoAtrasos,descontoAtrasosMinutos,descontoVrFaltas,descontoVtFaltas,descontoPensao,descontoInss,descontoIrrf,descontoFgts,descontoEpi,descontoOutros,descontoOutrosDetalhes,totalDescontos,acertoEscuroValor,acertoEscuroDetalhes,salarioLiquido,status,dataPagamento,dataPagamentoPrevista,consolidadoPor,consolidadoEm,bancoDestino,observacoes,createdAt,updatedAt,vaValor,vtValor,vrValor,seguroVidaValor,contribSindicalValor,fgtsValor,inssValor,dissidioValor,convencaoValor,ddsValor,rateioPorObra
417,60002,420079,2026-01,,"12,27",8,27,2650.32,0.00,0,,2650.32,1060.13,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0,212.03,0,0,,1060.13,0.00,[],1590.19,simulado,,2026-02-06 00:00:00,,,,,2026-03-03 22:21:43,2026-03-03 22:21:43,0.00,0.00,270.00,0.00,0,212.03,0.00,0,0,0,[]
418,60002,420080,2026-01,,"12,27",8,27,2650.32,0.00,0,,2650.32,1060.13,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0,212.03,0,0,,1060.13,0.00,[],1590.19,simulado,,2026-02-06 00:00:00,,,,,2026-03-03 22:21:43,2026-03-03 22:21:43,0.00,0.00,270.00,0.00,0,212.03,0.00,0,0,0,[]
419,60002,420081,2026-01,,"9,95",8,27,2149.20,0.00,0,,2149.20,859.68,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0,171.94,0,0,,859.68,0.00,[],1289.52,simulado,,2026-02-06 00:00:00,,,,,2026-03-03 22:21:43,2026-03-03 22:21:43,0.00,0.00,270.00,0.00,0,171.94,0.00,0,0,0,[]
420,60002,420082,2026-01,,"9,95",8,27,2149.20,0.00,0,,2149.20,859.68,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0,171.94,0,0,,859.68,0.00,[],1289.52,simulado,,2026-02-06 00:00:00,,,,,2026-03-03 22:21:43,2026-03-03 22:21:43,0.00,0.00,270.00,0.00,0,171.94,0.00,0,0,0,[]
421,60002,420083,2026-01,,"9,95",8,27,2149.20,0.00,0,,2149.20,859.68,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0,171.94,0,0,,859.68,0.00,[],1289.52,simulado,,2026-02-06 00:00:00,,,,,2026-03-03 22:21:43,2026-03-03 22:21:43,0.00,0.00,270.00,0.00,0,171.94,0.00,0,0,0,[]
422,60002,420084,2026-01,,"12,61",8,27,2723.76,0.00,0,,2723.76,1089.50,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0,217.90,0,0,,1089.50,0.00,[],1634.26,simulado,,2026-02-06 00:00:00,,,,,2026-03-03 22:21:43,2026-03-03 22:21:43,0.00,0.00,270.00,0.00,0,217.90,0.00,0,0,0,[]
423,60002,420085,2026-01,,"7,90",8,27,1706.40,0.00,0,,1706.40,682.56,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0,136.51,0,0,,682.56,0.00,[],1023.84,simulado,,2026-02-06 00:00:00,,,,,2026-03-03 22:21:43,2026-03-03 22:21:43,0.00,0.00,270.00,0.00,0,136.51,0.00,0,0,0,[]
424,60002,420086,2026-01,,"9,95",8,27,2149.20,0.00,0,,2149.20,859.68,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0,171.94,0,0,,859.68,0.00,[],1289.52,simulado,,2026-02-06 00:00:00,,,,,2026-03-03 22:21:43,2026-03-03 22:21:43,0.00,0.00,270.00,0.00,0,171.94,0.00,0,0,0,[]
425,60002,420087,2026-01,,"20,14",8,27,4350.24,0.00,0,,4350.24,1740.10,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0,348.02,0,0,,1740.10,0.00,[],2610.14,simulado,,2026-02-06 00:00:00,,,,,2026-03-03 22:21:43,2026-03-03 22:21:43,0.00,0.00,270.00,0.00,0,348.02,0.00,0,0,0,[]
426,60002,420089,2026-01,,"9,95",8,27,2149.20,0.00,0,,2149.20,859.68,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0,171.94,0,0,,859.68,0.00,[],1289.52,simulado,,2026-02-06 00:00:00,,,,,2026-03-03 22:21:43,2026-03-03 22:21:43,0.00,0.00,270.00,0.00,0,171.94,0.00,0,0,0,[]
427,60002,420090,2026-01,,"11,85",8,27,2559.60,0.00,0,,2559.60,1023.84,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0,204.77,0,0,,1023.84,0.00,[],1535.76,simulado,,2026-02-06 00:00:00,,,,,2026-03-03 22:21:43,2026-03-03 22:21:43,0.00,0.00,270.00,0.00,0,204.77,0.00,0,0,0,[]
428,60002,420091,2026-01,,"10,50",8,27,2268.00,0.00,0,,2268.00,907.20,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0,181.44,0,0,,907.20,0.00,[],1360.80,simulado,,2026-02-06 00:00:00,,,,,2026-03-03 22:21:43,2026-03-03 22:21:43,0.00,0.00,270.00,0.00,0,181.44,0.00,0,0,0,[]
