id,companyId,employeeId,mesReferencia,totalAtrasos,totalMinutosAtraso,totalFaltasInjustificadas,totalSaidasAntecipadas,totalMinutosSaidaAntecipada,totalDsrPerdidos,totalFeriadosPerdidos,totalHeNaoAutorizadas,totalMinutosHeNaoAutorizada,valorTotalAtrasos,valorTotalFaltas,valorTotalDsr,valorTotalFeriados,valorTotalSaidasAntecipadas,valorTotalHeNaoAutorizada,valorTotalDescontos,faltasAcumuladasPeriodoAquisitivo,diasFeriasResultante,status,revisadoPor,revisadoEm,createdAt,updatedAt
30334,60002,420131,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30335,60002,420132,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30336,60002,420133,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30337,60002,420134,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30338,60002,420135,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30339,60002,420136,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30340,60002,420137,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30341,60002,420138,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30342,60002,420139,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30343,60002,420140,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30344,60002,420141,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30345,60002,420142,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30346,60002,420143,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30347,60002,420144,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30348,60002,420145,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30349,60002,420146,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30350,60002,420147,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30351,60002,420148,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30352,60002,420149,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30353,60002,420150,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30354,60002,420151,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30355,60002,420152,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30356,60002,420153,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30357,60002,420154,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30358,60002,420155,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30359,60002,420156,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30360,60002,420157,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30461,60002,420158,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30462,60002,420159,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30463,60002,420160,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30464,60002,420161,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30465,60002,420162,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30466,60002,420163,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30467,60002,420164,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30468,60002,420165,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30469,60002,420166,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30470,60002,420167,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
