codigo_interno,nome,unidade,quantidade_atual,tipo_controle,categoria,empresa
MAT-0106,COMPEL DESEMPENADEIRA PLASTICA CORRUGADA 18X30 - 0.2452,pç,4.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0107,COMPEL DESEMPENADEIRA PLASTICA LISA 18X30 - 0.2431,pç,4.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0108,CHAPISCO COLANTE 20KG QUARTZ,un,345.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0109,Serrote ,un,1.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0110,Cortador de Piso Manual Profissional - CORTAG,un,1.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0111,Tesoura Elétrica Sem Fio,un,2.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0112,Parafusadeira DEWALT,un,0.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0113,Pé de Cabra,un,7.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0114,Chave Combinada N°22,un,5.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0115,Chave Combinada N°30,un,1.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0116,Chave Combinada N°26,un,1.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0117,Chave Combinada N°7,un,1.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0118,Chave Combinada N°8,un,1.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0119,Chave de Boca N°19,un,1.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0120,Chave de Boca N°17,un,1.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0121,Ponteira para Riscador de Porcelanato,un,5.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0122,Prumo de Centro,un,1.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0123,BROCA PARA CONCRETO IRWIN  Nº 8,un,1.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0124,BROCA PARA CONCRETO IRWIN  Nº 6,un,2.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0125,BROCA PARA CONCRETO IRWIN  Nº 10,un,2.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0126,Lâmina de Serra Starrett,un,0.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0127,Alicate Universal,un,1.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0128,Mandril para Furadeira,un,5.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0129,Adaptador para Serra Copo,un,3.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0130,Alicate de Pressão Bico Curvo,un,1.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0131,Alicate de Bico ,un,1.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0132,"Tesoura para corte de chapa de alumínio, calha, metal e zinco",un,1.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0133,Alicate de Corte,un,2.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0134,Chave Grifo,un,2.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0135,Chave Phillips,un,2.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0136,Lima para ferro,un,1.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0137,Betoneira 220V,un,1.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0138,Radio de comunicação - teste,un,5.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0139,Chave de Fenda Média,un,3.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0140,Chave Phillips Média,un,3.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0141,Esquadro ,un,2.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0142,Mangueira de Nível,m,21.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0143,Serra Policorte,un,1.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0144,Escada de 7 degraus,un,3.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0145,Escada de 6 degraus,un,3.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0146,Pulverizador Airless Elétrico,un,1.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0147,Carretilha/Roldana para corda,un,3.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0148,Ponteira para Martelete encaixe rapido-starfer,pç,0.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0149,Talhadeira,un,11.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0150,Marreta com Cabo de Madeira,un,0.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0151,Martelo,un,4.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0152,Colher de Pedreiro,un,4.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0153,DESENPENADEIRA GROSSA 22X34 ,un,2.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0154,Desempenadeira de Aço Lisa com Cabo de Madeira,un,2.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0155,Desempenadeira de Aço Lisa 40cm,un,1.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0156,Desempenadeira Dentada ,un,1.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0157,DESEMPENADEIRA LISA AÇO 29X12,un,3.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
